行业名称,相对强弱,动量,1日涨幅,3日涨幅,5日涨幅,10日涨幅,上涨占比,涨停数,成交额,成分数,成交额变化,阶段,方向,活跃分
轨交设备Ⅱ,2.5686982148838946,-0.6332539515580212,2.05121875,2.6088097641565167,1.0380935878176123,-2.276353219146121,0.84375,1,7578530019.0,32,0.7453016912594281,走弱,左上修复,62.8
交通运输,-1.3529533187246294,1.1597642738947498,2.8689692307692307,1.4314765486230119,-0.6086832982636903,-3.7883401132644656,0.9230769230769231,2,11489464154.0,65,0.14738464565054565,修复,左上修复,62.6
电子化学品Ⅱ,14.71284998662968,-2.14725957884129,1.7366285714285714,1.2994770583872661,2.0889895948648984,10.388328936967795,0.5428571428571428,3,97134312950.0,35,3.1981057082398943,走弱,左下退潮,62.1
自然景区,-0.7288291208701784,0.9170299254974196,2.4971666666666668,3.8578366724121738,1.185725600775256,-3.833937988032199,0.9166666666666666,0,1128511787.0,12,0.12925938616698596,修复,右上加速,61.5
石油石化,-0.6633265006955306,1.4772466307798136,3.416882352941176,2.128157489686111,-1.0478248353897213,-2.3031801110224404,0.9411764705882353,1,8726046723.0,17,-0.0020340471514587177,修复,左下退潮,61.5
非白酒,-3.3605651244100163,2.0194984255477593,2.7896666666666667,3.6279780074139234,0.6836522401909573,-6.602073359922134,1.0,0,877780009.0,9,0.006969158957058408,修复,右上加速,61.4
综合电商,-2.4739615231096654,1.9652534687691656,2.872,2.830870254180451,-0.6573356752773707,-4.168774664293739,1.0,0,353652991.0,3,0.20971421704137505,修复,右上加速,61.3
农用机械,-2.091812435941605,0.48998542519924343,3.3248000000000006,6.853679103263999,-0.7566322590928487,-4.570211641378707,1.0,0,564410377.0,10,1.8070331918317946,修复,右上加速,61.2
商贸零售,-2.370458673746452,0.3624311687987234,3.4260232558139534,3.938545959278339,-0.20064918320811254,-5.485532357782185,0.9069767441860465,4,6509992296.0,43,0.15569208861621586,修复,右上加速,60.0
环保设备Ⅱ,1.5140821487629852,1.2856496671443691,1.5911851851851853,2.1115869546339594,-0.46101492895394003,-0.6795660052618779,0.7407407407407407,0,8984358538.0,27,0.39125773355495475,领涨,左下退潮,59.0
磷肥及磷化工,6.161335439666023,2.7836472443632565,2.769888888888889,-1.111330742908101,-2.4154507488872823,1.9999642882482682,0.6666666666666666,1,9733902892.0,9,0.008860913066198961,领涨,左下退潮,58.9
纺织制造,-0.14110386469206407,0.4703035291027741,4.58125,3.60438225766484,-0.8774728678217936,-1.6793008481760463,1.0,0,1419086151.0,8,-0.056478376494186855,修复,右下降温,58.5
饰品,-0.32073722240381075,0.7405430928910501,1.9097692307692307,4.76688986102074,0.5984440929081014,-4.350873094746377,0.7692307692307693,0,1519563709.0,13,0.39928307364185556,修复,右上加速,58.4
粮油加工,-2.641360312420963,0.3238190392605027,2.9334285714285713,2.009153632697158,-0.9661983558845288,-5.169016928481895,1.0,0,639111694.0,7,1.412332817032027,修复,右下降温,58.3
环保,-1.8791888352992725,-0.025094838528775625,2.7455333333333334,3.3391244624859873,-1.0544632406820909,-3.7163545906070627,0.88,4,8181427546.0,75,0.7673152455390302,退潮,右下降温,58.3
通用设备,-0.6077697516627123,-0.10432227226721691,1.6555798816568048,3.1577534372830396,-1.1884671310495198,-4.239463634484963,0.7633136094674556,7,81362847431.0,169,0.9665796511048368,退潮,右上加速,57.9
会展服务,-0.18050659871742747,-5.204729078067136,5.0536666666666665,6.136354797909327,0.2512828470767836,-10.005350149514225,1.0,1,281053291.0,3,1.5825188593341193,退潮,右上加速,57.0
