行业名称,类型,排名,股票名称,代码,数值,展示
光伏发电,1日先锋,3,浙江新能,600032,0.141,浙江新能 +0.1%
光伏发电,3日动能,1,芯能科技,603105,4.111600587371522,芯能科技 +4.1%
光伏发电,3日动能,2,浙江新能,600032,0.8510638297872353,浙江新能 +0.9%
光伏发电,3日动能,3,新筑股份,002480,0.5825242718446422,新筑股份 +0.6%
光伏发电,5日趋势,1,东方新能,002310,3.2558139534883956,东方新能 +3.3%
光伏发电,5日趋势,2,芯能科技,603105,3.2023289665211063,芯能科技 +3.2%
光伏发电,5日趋势,3,浙江新能,600032,3.04347826086957,浙江新能 +3.0%
光伏发电,核心中军,1,露笑科技,002617,1748479825.0,露笑科技 17.5亿
光伏发电,核心中军,2,金开新能,600821,541826676.0,金开新能 5.4亿
光伏发电,核心中军,3,晶科科技,601778,447359538.0,晶科科技 4.5亿
光伏辅材,1日先锋,1,亚玛顿,002623,10.006,亚玛顿 +10.0%
光伏辅材,1日先锋,2,永臻股份,603381,2.203,永臻股份 +2.2%
光伏辅材,1日先锋,3,金博股份,688598,1.93,金博股份 +1.9%
光伏辅材,3日动能,1,亚玛顿,002623,9.795134443021759,亚玛顿 +9.8%
光伏辅材,3日动能,2,清源股份,603628,2.4468085106382986,清源股份 +2.4%
光伏辅材,3日动能,3,永臻股份,603381,2.336145360155739,永臻股份 +2.3%
光伏辅材,5日趋势,1,亚玛顿,002623,12.091503267973835,亚玛顿 +12.1%
光伏辅材,5日趋势,2,清源股份,603628,3.3261802575107247,清源股份 +3.3%
光伏辅材,5日趋势,3,赛伍技术,603212,3.067993366500832,赛伍技术 +3.1%
光伏辅材,核心中军,1,聚和材料,688503,2383851378.0,聚和材料 23.8亿
光伏辅材,核心中军,2,金博股份,688598,1060481346.0,金博股份 10.6亿
光伏辅材,核心中军,3,福斯特,603806,717585335.0,福斯特 7.2亿
光学光电子,1日先锋,1,奥比中光-W,688322,13.322,奥比中光-W +13.3%
光学光电子,1日先锋,2,乾照光电,300102,6.154,乾照光电 +6.2%
光学光电子,1日先锋,3,晨丰科技,603685,6.058,晨丰科技 +6.1%
光学光电子,3日动能,1,水晶光电,002273,4.227733934611044,水晶光电 +4.2%
光学光电子,3日动能,2,晨丰科技,603685,3.1929824561403475,晨丰科技 +3.2%
光学光电子,3日动能,3,翔腾新材,001373,1.8242122719734688,翔腾新材 +1.8%
光学光电子,5日趋势,1,水晶光电,002273,3.2096008931063347,水晶光电 +3.2%
光学光电子,5日趋势,2,联创电子,002036,2.344827586206888,联创电子 +2.3%
光学光电子,5日趋势,3,盛洋科技,603703,2.1256931608133023,盛洋科技 +2.1%
光学光电子,核心中军,1,水晶光电,002273,6070843077.0,水晶光电 60.7亿
光学光电子,核心中军,2,奥比中光-W,688322,5347814816.0,奥比中光-W 53.5亿
光学光电子,核心中军,3,三安光电,600703,5076944918.0,三安光电 50.8亿
公交,1日先锋,1,申通地铁,600834,2.522,申通地铁 +2.5%
公交,1日先锋,2,江西长运,600561,2.519,江西长运 +2.5%
公交,1日先锋,3,锦江在线,600650,2.427,锦江在线 +2.4%
公交,3日动能,1,江西长运,600561,6.8686868686868685,江西长运 +6.9%
公交,3日动能,2,锦江在线,600650,5.082987551867224,锦江在线 +5.1%
公交,3日动能,3,申通地铁,600834,5.015197568389063,申通地铁 +5.0%
公交,5日趋势,1,江西长运,600561,4.339250493096647,江西长运 +4.3%
公交,5日趋势,2,锦江在线,600650,3.7909836065573854,锦江在线 +3.8%
公交,5日趋势,3,海汽集团,603069,3.2539682539682646,海汽集团 +3.3%
公交,核心中军,1,大众交通,600611,100736517.0,大众交通 1.0亿
公交,核心中军,2,富临运业,002357,79770292.0,富临运业 0.8亿
公交,核心中军,3,海汽集团,603069,51612646.0,海汽集团 0.5亿
公用事业,1日先锋,1,万憬能源,002700,10.049,万憬能源 +10.0%
公用事业,1日先锋,2,胜利股份,000407,5.291,胜利股份 +5.3%
公用事业,1日先锋,3,长春燃气,600333,4.571,长春燃气 +4.6%
公用事业,3日动能,1,胜通能源,001331,12.610854913089753,胜通能源 +12.6%
公用事业,3日动能,2,东方环宇,603706,11.336032388663963,东方环宇 +11.3%
公用事业,3日动能,3,佛燃能源,002911,9.589041095890405,佛燃能源 +9.6%
公用事业,5日趋势,1,东方环宇,603706,10.951008645533133,东方环宇 +11.0%
公用事业,5日趋势,2,长春燃气,600333,8.284023668639051,长春燃气 +8.3%
公用事业,5日趋势,3,国新能源,600617,7.984790874524705,国新能源 +8.0%
公用事业,核心中军,1,胜通能源,001331,1301073357.0,胜通能源 13.0亿
公用事业,核心中军,2,德龙汇能,000593,688056301.0,德龙汇能 6.9亿
公用事业,核心中军,3,中泰股份,300435,517269441.0,中泰股份 5.2亿
其他专业工程,1日先锋,1,时空科技,605178,6.929,时空科技 +6.9%
其他专业工程,1日先锋,2,上海港湾,605598,6.346,上海港湾 +6.3%
其他专业工程,1日先锋,3,再升科技,603601,5.489,再升科技 +5.5%
其他专业工程,3日动能,1,时空科技,605178,26.618856781269784,时空科技 +26.6%
其他专业工程,3日动能,2,上海港湾,605598,8.587041373926606,上海港湾 +8.6%
其他专业工程,3日动能,3,中岩大地,003001,6.023166023166038,中岩大地 +6.0%
其他专业工程,5日趋势,1,时空科技,605178,35.66101694915253,时空科技 +35.7%
其他专业工程,5日趋势,2,上海港湾,605598,5.219364599092291,上海港湾 +5.2%
其他专业工程,5日趋势,3,中岩大地,003001,5.049732211170621,中岩大地 +5.0%
其他专业工程,核心中军,1,再升科技,603601,2569200289.0,再升科技 25.7亿
其他专业工程,核心中军,2,亚翔集成,603929,1894206402.0,亚翔集成 18.9亿
其他专业工程,核心中军,3,时空科技,605178,1130836408.0,时空科技 11.3亿
其他养殖,1日先锋,1,福成股份,600965,1.818,福成股份 +1.8%
其他养殖,1日先锋,2,华英农业,002321,0.0,华英农业 +0.0%
其他养殖,3日动能,1,福成股份,600965,9.80392156862746,福成股份 +9.8%
其他养殖,3日动能,2,华英农业,002321,7.784431137724557,华英农业 +7.8%
其他养殖,5日趋势,1,福成股份,600965,13.360323886639659,福成股份 +13.4%
其他养殖,5日趋势,2,华英农业,002321,8.433734939759052,华英农业 +8.4%
其他养殖,核心中军,1,华英农业,002321,49316854.0,华英农业 0.5亿
其他养殖,核心中军,2,福成股份,600965,13100470.0,福成股份 0.1亿
其他农产品加工,1日先锋,1,晨光生物,300138,5.431,晨光生物 +5.4%
其他农产品加工,1日先锋,2,保龄宝,002286,5.383,保龄宝 +5.4%
其他农产品加工,1日先锋,3,祖名股份,003030,4.278,祖名股份 +4.3%
其他农产品加工,3日动能,1,祖名股份,003030,13.868613138686126,祖名股份 +13.9%
其他农产品加工,3日动能,2,保龄宝,002286,6.787878787878787,保龄宝 +6.8%
其他农产品加工,3日动能,3,永顺泰,001338,5.48271752085816,永顺泰 +5.5%
其他农产品加工,5日趋势,1,中粮糖业,600737,14.00966183574881,中粮糖业 +14.0%
其他农产品加工,5日趋势,2,祖名股份,003030,8.083140877598161,祖名股份 +8.1%
其他农产品加工,5日趋势,3,双塔食品,002481,5.026455026455046,双塔食品 +5.0%
